Latitude (decimal degrees):	36.984
Longitude (decimal degrees):	-6.432
Elevation (m):	1
Radiation database:	PVGIS-SARAH


Slope: - deg. 
Azimuth: - deg. 
time,G(i),H_sun,T2m,WS10m,Int
20051103:2009,0.0,0.0,16.74,2.5,0.0
20051103:2109,0.0,0.0,16.34,2.54,0.0
20051103:2209,0.0,0.0,16.0,2.43,0.0
20051103:2309,0.0,0.0,15.67,2.32,0.0
20051104:0009,0.0,0.0,15.33,2.21,0.0
20051104:0109,0.0,0.0,14.83,2.32,0.0
20051104:0209,0.0,0.0,14.33,2.44,0.0
20051104:0309,0.0,0.0,13.82,2.55,0.0
20051104:0409,0.0,0.0,13.45,2.78,0.0
20051104:0509,0.0,0.0,13.08,3.0,0.0
20051104:0609,0.0,0.0,12.71,3.23,0.0
20051104:0709,0.0,0.0,13.24,3.46,0.0
20051104:0809,378.16,13.2,13.77,3.69,0.0
20051104:0909,522.56,22.8,14.31,3.92,0.0
20051104:1009,933.48,30.63,15.5,4.03,0.0
20051104:1109,976.25,35.86,16.69,4.15,0.0
20051104:1209,1049.1,37.7,17.89,4.26,0.0
20051104:1309,1108.26,35.78,18.66,5.0,0.0
20051104:1409,1066.54,30.47,19.44,5.74,0.0
20051104:1509,1103.46,22.59,20.21,6.48,0.0
20051104:1609,1054.63,12.96,19.38,5.73,0.0
20051104:1709,20.87,2.19,18.55,4.98,0.0
20051104:1809,0.0,0.0,17.72,4.23,0.0
20051104:1909,0.0,0.0,17.04,4.16,0.0
20051104:2009,0.0,0.0,16.37,4.09,0.0
20051104:2109,0.0,0.0,15.7,4.01,0.0
20051104:2209,0.0,0.0,15.23,3.83,0.0
20051104:2309,0.0,0.0,14.75,3.65,0.0
20051105:0009,0.0,0.0,14.28,3.46,0.0
20051105:0109,0.0,0.0,13.67,3.59,0.0
20051105:0209,0.0,0.0,13.06,3.71,0.0
20051105:0309,0.0,0.0,12.45,3.83,0.0
20051105:0409,0.0,0.0,12.13,3.65,0.0
20051105:0509,0.0,0.0,11.82,3.46,0.0
20051105:0609,0.0,0.0,11.5,3.27,0.0
20051105:0709,0.0,0.0,12.21,3.65,0.0
20051105:0809,112.25,12.97,12.93,4.03,0.0
20051105:0909,329.26,22.55,13.65,4.41,0.0
20051105:1009,424.62,30.35,14.97,4.34,0.0
20051105:1109,443.74,35.56,16.29,4.28,0.0
20051105:1209,887.13,37.39,17.61,4.21,0.0
20051105:1309,1022.49,35.48,18.05,4.2,0.0
20051105:1409,1092.22,30.2,18.49,4.19,0.0
20051105:1509,1061.7,22.36,18.93,4.18,0.0
20051105:1609,967.57,12.75,18.24,3.65,0.0
20051105:1709,22.05,2.0,17.55,3.12,0.0
20051105:1809,0.0,0.0,16.86,2.59,0.0
20051105:1909,0.0,0.0,16.29,2.69,0.0
20051105:2009,0.0,0.0,15.73,2.78,0.0
20051105:2109,0.0,0.0,15.16,2.87,0.0
20051105:2209,0.0,0.0,14.87,2.81,0.0
20051105:2309,0.0,0.0,14.57,2.76,0.0
20051106:0009,0.0,0.0,14.28,2.7,0.0
20051106:0109,0.0,0.0,13.78,2.65,0.0
20051106:0209,0.0,0.0,13.28,2.59,0.0
20051106:0309,0.0,0.0,12.77,2.54,0.0
20051106:0409,0.0,0.0,12.59,2.55,0.0
20051106:0509,0.0,0.0,12.42,2.57,0.0
20051106:0609,0.0,0.0,12.24,2.58,0.0
20051106:0709,0.0,0.0,12.97,3.14,0.0
20051106:0809,261.19,12.75,13.7,3.69,0.0
20051106:0909,540.04,22.3,14.44,4.25,0.0
20051106:1009,852.29,30.07,15.67,4.62,0.0
20051106:1109,856.89,35.27,16.9,4.99,0.0
20051106:1209,960.44,37.09,18.13,5.37,0.0
20051106:1309,1047.4,35.2,18.5,5.18,0.0
20051106:1409,994.4,29.94,18.88,4.99,0.0
20051106:1509,1005.75,22.13,19.26,4.8,0.0
20051106:1609,952.81,12.55,18.44,4.09,0.0
20051106:1709,21.39,1.82,17.63,3.38,0.0
20051106:1809,0.0,0.0,16.81,2.68,0.0
20051106:1909,0.0,0.0,16.25,2.86,0.0
20051106:2009,0.0,0.0,15.7,3.03,0.0
20051106:2109,0.0,0.0,15.14,3.21,0.0
20051106:2209,0.0,0.0,14.84,3.17,0.0
20051106:2309,0.0,0.0,14.55,3.12,0.0
20051107:0009,0.0,0.0,14.25,3.08,0.0
20051107:0109,0.0,0.0,14.03,2.88,0.0
20051107:0209,0.0,0.0,13.81,2.69,0.0
20051107:0309,0.0,0.0,13.59,2.5,0.0
20051107:0409,0.0,0.0,13.33,2.56,0.0
20051107:0509,0.0,0.0,13.06,2.63,0.0
20051107:0609,0.0,0.0,12.8,2.69,0.0
20051107:0709,0.0,0.0,13.53,3.2,0.0
20051107:0809,209.08,12.52,14.26,3.71,0.0
20051107:0909,495.81,22.05,15.0,4.22,0.0
20051107:1009,804.42,29.8,16.3,4.52,0.0
20051107:1109,873.11,34.97,17.6,4.82,0.0
20051107:1209,1002.38,36.79,18.91,5.12,0.0
20051107:1309,1037.31,34.91,19.25,4.72,0.0
20051107:1409,1013.49,29.69,19.6,4.33,0.0
20051107:1509,1036.9,21.9,19.95,3.93,0.0
20051107:1609,1081.87,12.35,19.16,3.57,0.0
20051107:1709,19.52,1.65,18.37,3.21,0.0
20051107:1809,0.0,0.0,17.58,2.86,0.0
20051107:1909,0.0,0.0,16.96,3.0,0.0
20051107:2009,0.0,0.0,16.35,3.15,0.0
20051107:2109,0.0,0.0,15.74,3.3,0.0
20051107:2209,0.0,0.0,15.35,3.18,0.0
20051107:2309,0.0,0.0,14.95,3.07,0.0
20051108:0009,0.0,0.0,14.56,2.95,0.0
20051108:0109,0.0,0.0,14.18,2.79,0.0
20051108:0209,0.0,0.0,13.8,2.63,0.0
20051108:0309,0.0,0.0,13.42,2.47,0.0
20051108:0409,0.0,0.0,13.22,2.49,0.0
20051108:0509,0.0,0.0,13.01,2.51,0.0
20051108:0609,0.0,0.0,12.81,2.52,0.0
20051108:0709,0.0,0.0,13.51,2.47,0.0
20051108:0809,237.66,12.3,14.21,2.41,0.0
20051108:0909,415.67,21.8,14.91,2.36,0.0
20051108:1009,349.27,29.53,16.12,1.9,0.0
20051108:1109,290.6,34.68,17.34,1.45,0.0
20051108:1209,738.18,36.5,18.56,0.99,0.0
20051108:1309,1053.73,34.63,18.46,1.52,0.0
20051108:1409,1070.54,29.44,18.37,2.05,0.0
20051108:1509,1035.84,21.68,18.28,2.58,0.0
20051108:1609,1113.37,12.16,17.52,2.5,0.0
20051108:1709,20.09,1.48,16.77,2.41,0.0
20051108:1809,0.0,0.0,16.01,2.33,0.0
20051108:1909,0.0,0.0,15.71,2.57,0.0
20051108:2009,0.0,0.0,15.41,2.81,0.0
20051108:2109,0.0,0.0,15.11,3.05,0.0
20051108:2209,0.0,0.0,14.88,2.95,0.0
20051108:2309,0.0,0.0,14.65,2.86,0.0
20051109:0009,0.0,0.0,14.42,2.76,0.0
20051109:0109,0.0,0.0,13.77,2.77,0.0
20051109:0209,0.0,0.0,13.13,2.79,0.0
20051109:0309,0.0,0.0,12.48,2.8,0.0
20051109:0409,0.0,0.0,12.12,3.09,0.0
20051109:0509,0.0,0.0,11.75,3.38,0.0
20051109:0609,0.0,0.0,11.39,3.67,0.0
20051109:0709,0.0,0.0,11.99,4.21,0.0
20051109:0809,267.04,12.08,12.59,4.74,0.0
20051109:0909,504.8,21.56,13.19,5.28,0.0
20051109:1009,887.9,29.26,14.46,5.19,0.0
20051109:1109,859.58,34.39,15.74,5.09,0.0
20051109:1209,1017.64,36.21,17.02,4.99,0.0
20051109:1309,1053.4,34.36,17.36,5.15,0.0
20051109:1409,1059.94,29.19,17.71,5.31,0.0
20051109:1509,1064.26,21.47,18.06,5.46,0.0
20051109:1609,904.68,11.98,17.27,4.88,0.0
20051109:1709,16.41,1.32,16.49,4.29,0.0
20051109:1809,0.0,0.0,15.7,3.71,0.0
20051109:1909,0.0,0.0,15.07,3.86,0.0
20051109:2009,0.0,0.0,14.44,4.01,0.0
20051109:2109,0.0,0.0,13.81,4.17,0.0
20051109:2209,0.0,0.0,13.47,4.27,0.0
20051109:2309,0.0,0.0,13.13,4.37,0.0
20051110:0009,0.0,0.0,12.79,4.47,0.0
20051110:0109,0.0,0.0,12.37,4.34,0.0
20051110:0209,0.0,0.0,11.96,4.21,0.0
20051110:0309,0.0,0.0,11.54,4.08,0.0
20051110:0409,0.0,0.0,11.2,4.1,0.0
20051110:0509,0.0,0.0,10.86,4.12,0.0
20051110:0609,0.0,0.0,10.52,4.14,0.0
20051110:0709,0.0,0.0,11.14,4.67,0.0
20051110:0809,301.67,11.85,11.76,5.2,0.0
20051110:0909,500.51,21.31,12.39,5.72,0.0
20051110:1009,876.88,28.99,13.64,5.81,0.0
20051110:1109,876.1,34.11,14.89,5.89,0.0
20051110:1209,1033.13,35.92,16.14,5.97,0.0
20051110:1309,1042.83,34.09,17.3,5.94,0.0
20051110:1409,1086.46,28.95,18.46,5.9,0.0
20051110:1509,1008.42,21.26,19.62,5.86,0.0
20051110:1609,1042.2,11.8,18.8,4.97,0.0
20051110:1709,16.38,1.16,17.99,4.08,0.0
20051110:1809,0.0,0.0,17.17,3.19,0.0
20051110:1909,0.0,0.0,16.55,3.26,0.0
20051110:2009,0.0,0.0,15.93,3.33,0.0
20051110:2109,0.0,0.0,15.31,3.41,0.0
20051110:2209,0.0,0.0,14.96,3.21,0.0
20051110:2309,0.0,0.0,14.6,3.02,0.0
20051111:0009,0.0,0.0,14.25,2.83,0.0
20051111:0109,0.0,0.0,13.73,2.63,0.0
20051111:0209,0.0,0.0,13.21,2.44,0.0
20051111:0309,0.0,0.0,12.69,2.25,0.0
20051111:0409,0.0,0.0,12.3,2.27,0.0
20051111:0509,0.0,0.0,11.91,2.29,0.0
20051111:0609,0.0,0.0,11.52,2.32,0.0
20051111:0709,0.0,0.0,12.15,2.69,0.0
20051111:0809,282.0,11.63,12.79,3.07,0.0
20051111:0909,519.72,21.07,13.43,3.45,0.0
20051111:1009,900.29,28.73,14.63,3.53,0.0
20051111:1109,955.43,33.83,15.83,3.61,0.0
20051111:1209,1031.26,35.64,17.03,3.7,0.0
20051111:1309,1116.81,33.83,17.45,3.31,0.0
20051111:1409,1047.98,28.72,17.88,2.92,0.0
20051111:1509,1039.87,21.06,18.3,2.54,0.0
20051111:1609,1029.04,11.62,17.6,2.56,0.0
20051111:1709,15.74,1.01,16.9,2.57,0.0
20051111:1809,0.0,0.0,16.2,2.59,0.0
20051111:1909,0.0,0.0,15.66,2.6,0.0
20051111:2009,0.0,0.0,15.13,2.6,0.0
20051111:2109,0.0,0.0,14.59,2.61,0.0
20051111:2209,0.0,0.0,14.24,2.26,0.0
20051111:2309,0.0,0.0,13.88,1.92,0.0
20051112:0009,0.0,0.0,13.53,1.57,0.0
20051112:0109,0.0,0.0,13.14,1.25,0.0
20051112:0209,0.0,0.0,12.76,0.92,0.0
20051112:0309,0.0,0.0,12.37,0.59,0.0
20051112:0409,0.0,0.0,12.14,0.63,0.0
20051112:0509,0.0,0.0,11.92,0.67,0.0
20051112:0609,0.0,0.0,11.69,0.7,0.0
20051112:0709,0.0,0.0,12.32,0.76,0.0
20051112:0809,273.74,11.41,12.95,0.82,0.0
20051112:0909,550.15,20.83,13.59,0.88,0.0
20051112:1009,923.92,28.47,14.74,1.53,0.0
20051112:1109,1019.67,33.56,15.89,2.18,0.0
20051112:1209,996.09,35.37,17.05,2.83,0.0
20051112:1309,1030.79,33.57,17.24,3.35,0.0
20051112:1409,1074.58,28.49,17.44,3.87,0.0
20051112:1509,1037.81,20.86,17.64,4.39,0.0
20051112:1609,862.47,11.45,16.82,3.93,0.0
20051112:1709,15.11,0.86,16.0,3.48,0.0
20051112:1809,0.0,0.0,15.18,3.02,0.0
20051112:1909,0.0,0.0,14.4,2.74,0.0
20051112:2009,0.0,0.0,13.63,2.46,0.0
20051112:2109,0.0,0.0,12.85,2.18,0.0
20051112:2209,0.0,0.0,12.38,2.39,0.0
20051112:2309,0.0,0.0,11.9,2.6,0.0
20051113:0009,0.0,0.0,11.43,2.81,0.0
20051113:0109,0.0,0.0,11.08,3.1,0.0
20051113:0209,0.0,0.0,10.73,3.39,0.0
20051113:0309,0.0,0.0,10.37,3.68,0.0
20051113:0409,0.0,0.0,9.91,3.66,0.0
20051113:0509,0.0,0.0,9.44,3.64,0.0
20051113:0609,0.0,0.0,8.98,3.61,0.0
20051113:0709,0.0,0.0,9.39,3.7,0.0
20051113:0809,410.25,11.19,9.81,3.79,0.0
20051113:0909,465.22,20.59,10.23,3.88,0.0
20051113:1009,851.11,28.21,11.05,3.8,0.0
20051113:1109,850.96,33.29,11.87,3.73,0.0
20051113:1209,1020.03,35.1,12.7,3.66,0.0
20051113:1309,962.84,33.32,13.27,3.81,0.0
20051113:1409,897.82,28.27,13.84,3.96,0.0
20051113:1509,166.41,20.67,14.41,4.11,0.0
20051113:1609,12.86,11.29,13.65,3.31,0.0
20051113:1709,11.99,0.72,12.89,2.5,0.0
20051113:1809,0.0,0.0,12.13,1.7,0.0
20051113:1909,0.0,0.0,11.41,1.43,0.0
20051113:2009,0.0,0.0,10.7,1.17,0.0
20051113:2109,0.0,0.0,9.99,0.91,0.0
20051113:2209,0.0,0.0,9.76,1.17,0.0
20051113:2309,0.0,0.0,9.54,1.43,0.0
20051114:0009,0.0,0.0,9.31,1.68,0.0
20051114:0109,0.0,0.0,8.76,1.58,0.0
20051114:0209,0.0,0.0,8.22,1.47,0.0
20051114:0309,0.0,0.0,7.67,1.37,0.0
20051114:0409,0.0,0.0,7.6,1.52,0.0
20051114:0509,0.0,0.0,7.53,1.68,0.0
20051114:0609,0.0,0.0,7.46,1.83,0.0
20051114:0709,0.0,0.0,8.18,2.17,0.0
20051114:0809,10.8,10.98,8.91,2.51,0.0
20051114:0909,33.94,20.35,9.64,2.86,0.0
20051114:1009,44.82,27.95,10.57,2.79,0.0
20051114:1109,152.51,33.02,11.51,2.73,0.0
20051114:1209,85.22,34.83,12.45,2.66,0.0
20051114:1309,320.9,33.07,12.64,2.66,0.0
20051114:1409,420.4,28.05,12.84,2.65,0.0
20051114:1509,25.11,20.49,13.03,2.65,0.0
20051114:1609,27.03,11.13,12.31,2.37,0.0
20051114:1709,1.84,0.58,11.6,2.1,0.0
20051114:1809,0.0,0.0,10.88,1.82,0.0
20051114:1909,0.0,0.0,10.47,1.88,0.0
20051114:2009,0.0,0.0,10.07,1.93,0.0
20051114:2109,0.0,0.0,9.67,1.99,0.0
20051114:2209,0.0,0.0,9.69,2.03,0.0
20051114:2309,0.0,0.0,9.7,2.07,0.0
20051115:0009,0.0,0.0,9.72,2.11,0.0
20051115:0109,0.0,0.0,9.53,1.69,0.0
20051115:0209,0.0,0.0,9.34,1.27,0.0
20051115:0309,0.0,0.0,9.14,0.86,0.0
20051115:0409,0.0,0.0,9.1,0.91,0.0
20051115:0509,0.0,0.0,9.05,0.97,0.0
20051115:0609,0.0,0.0,9.01,1.03,0.0
20051115:0709,0.0,0.0,9.9,1.26,0.0
20051115:0809,64.25,10.76,10.79,1.48,0.0
20051115:0909,208.55,20.12,11.69,1.7,0.0
20051115:1009,370.61,27.7,12.91,2.03,0.0
20051115:1109,1005.97,32.76,14.13,2.36,0.0
20051115:1209,999.92,34.57,15.36,2.69,0.0
20051115:1309,441.2,32.83,15.72,3.15,0.0
20051115:1409,807.65,27.84,16.08,3.61,0.0
20051115:1509,53.84,20.31,16.44,4.07,0.0
20051115:1609,37.78,10.98,15.73,3.44,0.0
20051115:1709,6.43,0.45,15.03,2.81,0.0
20051115:1809,0.0,0.0,14.32,2.18,0.0
20051115:1909,0.0,0.0,13.91,2.22,0.0
20051115:2009,0.0,0.0,13.5,2.25,0.0
20051115:2109,0.0,0.0,13.09,2.29,0.0
20051115:2209,0.0,0.0,12.92,2.28,0.0
20051115:2309,0.0,0.0,12.74,2.27,0.0
20051116:0009,0.0,0.0,12.57,2.26,0.0
20051116:0109,0.0,0.0,12.48,2.4,0.0
20051116:0209,0.0,0.0,12.39,2.54,0.0
20051116:0309,0.0,0.0,12.3,2.68,0.0
20051116:0409,0.0,0.0,11.98,2.46,0.0
20051116:0509,0.0,0.0,11.65,2.23,0.0
20051116:0609,0.0,0.0,11.33,2.01,0.0
20051116:0709,0.0,0.0,11.92,1.93,0.0
20051116:0809,216.38,10.55,12.51,1.85,0.0
20051116:0909,501.85,19.89,13.11,1.77,0.0
20051116:1009,895.2,27.45,14.19,2.2,0.0
20051116:1109,945.65,32.5,15.27,2.63,0.0
20051116:1209,1086.45,34.32,16.35,3.06,0.0
20051116:1309,1086.7,32.6,16.63,3.3,0.0
20051116:1409,1078.32,27.64,16.91,3.54,0.0
20051116:1509,1053.7,20.13,17.19,3.78,0.0
20051116:1609,970.18,10.83,16.47,3.4,0.0
20051116:1709,10.54,0.33,15.76,3.03,0.0
20051116:1809,0.0,0.0,15.04,2.65,0.0
20051116:1909,0.0,0.0,14.64,2.55,0.0
20051116:2009,0.0,0.0,14.25,2.45,0.0
20051116:2109,0.0,0.0,13.85,2.34,0.0
20051116:2209,0.0,0.0,13.62,2.2,0.0
20051116:2309,0.0,0.0,13.4,2.05,0.0
20051117:0009,0.0,0.0,13.17,1.9,0.0
20051117:0109,0.0,0.0,12.53,1.4,0.0
20051117:0209,0.0,0.0,11.89,0.89,0.0
20051117:0309,0.0,0.0,11.25,0.39,0.0
20051117:0409,0.0,0.0,11.11,0.34,0.0
20051117:0509,0.0,0.0,10.96,0.29,0.0
20051117:0609,0.0,0.0,10.82,0.23,0.0
20051117:0709,0.0,0.0,11.43,0.57,0.0
20051117:0809,160.26,10.34,12.04,0.91,0.0
20051117:0909,138.76,19.66,12.65,1.26,0.0
20051117:1009,399.35,27.21,13.78,1.04,0.0
20051117:1109,373.29,32.25,14.91,0.83,0.0
20051117:1209,456.9,34.07,16.04,0.62,0.0
20051117:1309,994.86,32.37,16.48,1.2,0.0
20051117:1409,965.85,27.44,16.93,1.79,0.0
20051117:1509,939.23,19.96,17.37,2.37,0.0
20051117:1609,863.3,10.69,16.59,2.24,0.0
20051117:1709,10.06,0.21,15.81,2.11,0.0
20051117:1809,0.0,0.0,15.03,1.99,0.0
20051117:1909,0.0,0.0,14.66,1.85,0.0
20051117:2009,0.0,0.0,14.29,1.72,0.0
20051117:2109,0.0,0.0,13.92,1.59,0.0
20051117:2209,0.0,0.0,13.77,1.52,0.0
20051117:2309,0.0,0.0,13.62,1.45,0.0
20051118:0009,0.0,0.0,13.47,1.38,0.0
20051118:0109,0.0,0.0,12.97,1.21,0.0
20051118:0209,0.0,0.0,12.47,1.05,0.0
20051118:0309,0.0,0.0,11.96,0.88,0.0
20051118:0409,0.0,0.0,11.83,1.03,0.0
20051118:0509,0.0,0.0,11.71,1.19,0.0
20051118:0609,0.0,0.0,11.58,1.34,0.0
20051118:0709,0.0,0.0,12.2,1.42,0.0
20051118:0809,336.43,10.13,12.82,1.5,0.0
20051118:0909,639.99,19.43,13.45,1.59,0.0
20051118:1009,906.62,26.97,14.48,1.96,0.0
20051118:1109,983.68,32.0,15.51,2.34,0.0
20051118:1209,1029.98,33.83,16.54,2.72,0.0
20051118:1309,1075.7,32.15,16.73,2.96,0.0
20051118:1409,1036.72,27.24,16.93,3.2,0.0
20051118:1509,634.95,19.8,17.12,3.43,0.0
20051118:1609,447.37,10.56,16.42,3.11,0.0
20051118:1709,9.59,0.09,15.72,2.78,0.0
20051118:1809,0.0,0.0,15.02,2.46,0.0
20051118:1909,0.0,0.0,14.85,2.51,0.0
20051118:2009,0.0,0.0,14.69,2.57,0.0
20051118:2109,0.0,0.0,14.53,2.62,0.0
20051118:2209,0.0,0.0,14.54,2.73,0.0
20051118:2309,0.0,0.0,14.55,2.84,0.0
20051119:0009,0.0,0.0,14.56,2.95,0.0
20051119:0109,0.0,0.0,14.28,3.31,0.0
20051119:0209,0.0,0.0,14.01,3.67,0.0
20051119:0309,0.0,0.0,13.73,4.03,0.0
20051119:0409,0.0,0.0,13.65,3.98,0.0
20051119:0509,0.0,0.0,13.58,3.93,0.0
20051119:0609,0.0,0.0,13.5,3.88,0.0
20051119:0709,0.0,0.0,14.08,4.13,0.0
20051119:0809,99.41,9.92,14.67,4.39,0.0
20051119:0909,87.12,19.21,15.26,4.65,0.0
20051119:1009,124.95,26.73,16.27,5.04,0.0
20051119:1109,394.71,31.75,17.28,5.43,0.0
20051119:1209,415.12,33.59,18.3,5.82,0.0
20051119:1309,124.0,31.93,18.06,6.01,0.0
20051119:1409,79.63,27.06,17.83,6.21,0.0
20051119:1509,162.34,19.64,17.59,6.4,0.0
20051119:1609,249.07,10.43,16.9,6.03,0.0
20051119:1709,0.0,-0.01,16.22,5.66,0.0
20051119:1809,0.0,0.0,15.53,5.28,0.0
20051119:1909,0.0,0.0,15.5,5.22,0.0
20051119:2009,0.0,0.0,15.48,5.16,0.0
20051119:2109,0.0,0.0,15.45,5.1,0.0
20051119:2209,0.0,0.0,15.31,5.18,0.0
20051119:2309,0.0,0.0,15.16,5.25,0.0
20051120:0009,0.0,0.0,15.02,5.32,0.0
20051120:0109,0.0,0.0,14.57,6.38,0.0
20051120:0209,0.0,0.0,14.13,7.44,0.0
20051120:0309,0.0,0.0,13.68,8.5,0.0
20051120:0409,0.0,0.0,13.66,8.56,0.0
20051120:0509,0.0,0.0,13.63,8.63,0.0
20051120:0609,0.0,0.0,13.61,8.69,0.0
20051120:0709,0.0,0.0,14.41,8.56,0.0
20051120:0809,26.72,9.71,15.21,8.43,0.0
20051120:0909,50.29,18.99,16.01,8.3,0.0
20051120:1009,87.05,26.5,16.99,8.4,0.0
20051120:1109,211.34,31.52,17.98,8.5,0.0
20051120:1209,238.7,33.36,18.97,8.59,0.0
20051120:1309,738.43,31.72,19.11,8.69,0.0
20051120:1409,363.48,26.87,19.26,8.8,0.0
20051120:1509,663.27,19.49,19.4,8.9,0.0
20051120:1609,922.46,10.3,18.48,8.43,0.0
20051120:1709,0.0,-0.11,17.56,7.97,0.0
20051120:1809,0.0,0.0,16.64,7.5,0.0
20051120:1909,0.0,0.0,16.18,7.36,0.0
20051120:2009,0.0,0.0,15.72,7.21,0.0
20051120:2109,0.0,0.0,15.26,7.06,0.0
20051120:2209,0.0,0.0,15.23,6.94,0.0
20051120:2309,0.0,0.0,15.21,6.82,0.0
20051121:0009,0.0,0.0,15.18,6.7,0.0
20051121:0109,0.0,0.0,14.9,6.8,0.0
20051121:0209,0.0,0.0,14.62,6.91,0.0
20051121:0309,0.0,0.0,14.34,7.01,0.0
20051121:0409,0.0,0.0,14.32,6.73,0.0
20051121:0509,0.0,0.0,14.29,6.45,0.0
20051121:0609,0.0,0.0,14.27,6.17,0.0
20051121:0709,0.0,0.0,15.04,6.27,0.0
20051121:0809,18.61,9.51,15.82,6.37,0.0
20051121:0909,36.37,18.77,16.6,6.47,0.0
20051121:1009,59.74,26.27,17.61,6.71,0.0
20051121:1109,170.76,31.28,18.63,6.96,0.0
20051121:1209,1008.4,33.13,19.65,7.2,0.0
20051121:1309,858.51,31.52,19.68,6.81,0.0
20051121:1409,1012.22,26.7,19.72,6.42,0.0
20051121:1509,1055.09,19.35,19.76,6.03,0.0
20051121:1609,1000.26,10.19,18.84,5.19,0.0
20051121:1709,0.0,-0.21,17.93,4.35,0.0
20051121:1809,0.0,0.0,17.01,3.52,0.0
20051121:1909,0.0,0.0,16.51,3.27,0.0
20051121:2009,0.0,0.0,16.02,3.02,0.0
20051121:2109,0.0,0.0,15.52,2.77,0.0
20051121:2209,0.0,0.0,15.3,2.84,0.0
20051121:2309,0.0,0.0,15.09,2.9,0.0
20051122:0009,0.0,0.0,14.87,2.97,0.0
20051122:0109,0.0,0.0,14.48,3.17,0.0
20051122:0209,0.0,0.0,14.1,3.38,0.0
20051122:0309,0.0,0.0,13.71,3.59,0.0
20051122:0409,0.0,0.0,13.43,3.33,0.0
20051122:0509,0.0,0.0,13.14,3.07,0.0
20051122:0609,0.0,0.0,12.86,2.81,0.0
20051122:0709,0.0,0.0,13.43,3.05,0.0
20051122:0809,26.27,9.31,14.0,3.29,0.0
20051122:0909,34.85,18.56,14.58,3.53,0.0
20051122:1009,461.99,26.05,15.54,3.62,0.0
20051122:1109,113.53,31.05,16.5,3.71,0.0
20051122:1209,369.19,32.91,17.46,3.81,0.0
20051122:1309,625.38,31.32,17.88,4.02,0.0
20051122:1409,350.94,26.53,18.3,4.24,0.0
20051122:1509,847.66,19.21,18.72,4.46,0.0
20051122:1609,1073.75,10.07,17.87,3.71,0.0
20051122:1709,0.0,-0.3,17.02,2.96,0.0
20051122:1809,0.0,0.0,16.17,2.21,0.0
20051122:1909,0.0,0.0,15.65,2.29,0.0
20051122:2009,0.0,0.0,15.13,2.37,0.0
20051122:2109,0.0,0.0,14.61,2.46,0.0
20051122:2209,0.0,0.0,14.34,2.4,0.0
20051122:2309,0.0,0.0,14.06,2.34,0.0
20051123:0009,0.0,0.0,13.79,2.28,0.0
20051123:0109,0.0,0.0,13.5,2.25,0.0
20051123:0209,0.0,0.0,13.22,2.23,0.0
20051123:0309,0.0,0.0,12.93,2.21,0.0
20051123:0409,0.0,0.0,12.67,2.25,0.0
20051123:0509,0.0,0.0,12.41,2.29,0.0
20051123:0609,0.0,0.0,12.15,2.33,0.0
20051123:0709,0.0,0.0,12.74,2.97,0.0
20051123:0809,210.05,9.11,13.33,3.6,0.0
20051123:0909,675.02,18.35,13.93,4.23,0.0
20051123:1009,618.87,25.83,15.03,4.64,1.0
20051123:1109,975.09,30.83,16.13,5.04,0.0
20051123:1209,1077.16,32.7,17.23,5.45,0.0
20051123:1309,1104.37,31.13,17.63,5.01,0.0
20051123:1409,1068.42,26.37,18.04,4.57,0.0
20051123:1509,1095.51,19.08,18.44,4.12,0.0
20051123:1609,970.1,9.97,17.58,3.47,0.0
20051123:1709,0.0,-0.38,16.73,2.81,0.0
20051123:1809,0.0,0.0,15.87,2.15,0.0
20051123:1909,0.0,0.0,15.33,2.35,0.0
20051123:2009,0.0,0.0,14.79,2.56,0.0
20051123:2109,0.0,0.0,14.25,2.76,0.0
20051123:2209,0.0,0.0,13.98,2.82,0.0
20051123:2309,0.0,0.0,13.71,2.89,0.0
20051124:0009,0.0,0.0,13.44,2.95,0.0
20051124:0109,0.0,0.0,13.08,2.77,0.0
20051124:0209,0.0,0.0,12.72,2.58,0.0
20051124:0309,0.0,0.0,12.36,2.4,0.0
20051124:0409,0.0,0.0,12.05,2.38,0.0
20051124:0509,0.0,0.0,11.75,2.36,0.0
20051124:0609,0.0,0.0,11.44,2.34,0.0
20051124:0709,0.0,0.0,11.93,2.84,0.0
20051124:0809,147.27,8.91,12.42,3.33,0.0
20051124:0909,415.29,18.14,12.92,3.82,0.0
20051124:1009,820.66,25.61,13.93,3.88,0.0
20051124:1109,817.74,30.61,14.95,3.94,0.0
20051124:1209,930.25,32.49,15.97,4.0,0.0
20051124:1309,1004.88,30.94,16.65,3.79,0.0
20051124:1409,955.3,26.21,17.34,3.59,0.0
20051124:1509,880.68,18.95,18.03,3.38,0.0
20051124:1609,966.33,9.87,17.13,3.25,0.0
20051124:1709,0.0,-0.46,16.22,3.11,0.0
20051124:1809,0.0,0.0,15.32,2.98,0.0
20051124:1909,0.0,0.0,14.65,2.91,0.0
20051124:2009,0.0,0.0,13.98,2.83,0.0
20051124:2109,0.0,0.0,13.31,2.76,0.0
20051124:2209,0.0,0.0,12.88,2.73,0.0
20051124:2309,0.0,0.0,12.44,2.69,0.0
20051125:0009,0.0,0.0,12.01,2.66,0.0
20051125:0109,0.0,0.0,11.4,2.65,0.0
20051125:0209,0.0,0.0,10.8,2.64,0.0
20051125:0309,0.0,0.0,10.19,2.63,0.0
